Time,P1,P2,IM,Rec
4,0.782162764,0.689573811,0.7,0.535
5,0.818255582,0.744369735,0.7,0.612
6,0.840017589,0.781822466,0.7,0.67
7,0.853858786,0.807649832,0.7,0.711
8,0.863209026,0.82571458,0.7,0.752
9,0.869949441,0.838551912,0.7,0.778
10,0.875139412,0.847824269,0.7,0.797
11,0.879389675,0.854632149,0.7,0.811
12,0.883059019,0.859713829,0.7,0.819
13,0.886361138,0.863571816,0.7,0.827
14,0.889424371,0.866553118,0.7,0.836
15,0.892325985,0.868900691,0.7,0.844
16,0.8951123,0.87078685,0.7,0.847
17,0.897810742,0.872335264,0.7,0.851
18,0.900437167,0.87363565,0.7,0.855
19,0.903000378,0.87475372,0.7,0.858
20,0.905504931,0.875738013,0.7,0.859
21,0.907952883,0.876624642,0.7,0.861
22,0.910344893,0.877440634,0.7,0.863
23,0.912680895,0.878206309,0.7,0.864
24,0.914960523,0.878936992,0.7,0.866
25,0.917183354,0.879644259,0.7,0.868
26,0.919349056,0.880336848,0.7,0.868
27,0.921457465,0.88102134,0.7,0.87
28,0.923508613,0.88170266,0.7,0.872
29,0.925502742,0.882384465,0.7,0.877
30,0.927440291,0.883069426,0.7,0.88
31,0.929321883,0.883759454,0.7,0.88
32,0.931148301,0.88445587,0.7,0.884
33,0.932920469,0.885159534,0.7,0.886
34,0.934639425,0.885870951,0.7,0.888
35,0.936306305,0.886590347,0.7,0.89
36,0.937922319,0.887317736,0.7,0.891
37,0.939488735,0.888052966,0.7,0.893
38,0.941006866,0.888795764,0.7,0.893
39,0.94247805,0.889545759,0.7,0.894
40,0.943903645,0.890302513,0.7,0.896
41,0.945285013,0.891065538,0.7,0.898
42,0.946623516,0.891834314,0.7,0.9
43,0.947920506,0.892608298,0.7,0.9
44,0.94917732,0.893386937,0.7,0.9
45,0.950395275,0.894169673,0.7,0.903
46,0.951575664,0.894955952,0.7,0.903
47,0.952719752,0.895745227,0.7,0.906
48,0.953828774,0.896536962,0.7,0.908
49,0.954903935,0.897330637,0.7,0.911
50,0.955946405,0.898125745,0.7,0.913
51,0.956957321,0.8989218,0.7,0.916
52,0.957937785,0.899718333,0.7,0.923
53,0.958888863,0.900514896,0.7,0.923
54,0.959811589,0.901311059,0.7,0.925
55,0.960706958,0.902106414,0.7,0.928
56,0.961575935,0.902900574,0.7,0.93
57,0.962419447,0.903693171,0.7,0.931
