Time,P1,P2,IM,Rec
1,0,0,125,0.02984
2,1.60E-05,0.878810123,125,0.04326
3,3.60E-05,0.878842993,125,0.05622
4,6.40E-05,0.878888997,125,0.05622
5,1.00E-04,0.878948119,125,0.0563
6,0.000143928,0.87902034,125,0.05632
7,0.000195893,0.879105636,125,0.05634
8,0.000255847,0.87920398,125,0.05634
9,0.000323787,0.87931534,125,0.05642
10,0.000399709,0.879439679,125,0.05648
11,0.000483612,0.879576958,125,0.05658
12,0.000575491,0.879727132,125,0.05662
13,0.000675342,0.879890152,125,0.0567
14,0.000783161,0.880065965,125,0.05678
15,0.000898944,0.880254515,125,0.05688
16,0.001022685,0.880455741,125,0.05694
17,0.00115438,0.880669577,125,0.057
18,0.001294022,0.880895955,125,0.05708
19,0.001441605,0.881134802,125,0.05724
20,0.001597124,0.881386042,125,0.05734
21,0.001760571,0.881649592,125,0.05752
22,0.00193194,0.88192537,125,0.05768
23,0.002111224,0.882213287,125,0.05784
24,0.002298414,0.88251325,125,0.05798
25,0.002493502,0.882825164,125,0.05816
26,0.002696482,0.883148931,125,0.05826
27,0.002907342,0.883484445,125,0.05848
28,0.003126076,0.883831603,125,0.05862
29,0.003352673,0.884190293,125,0.05884
30,0.003587123,0.884560402,125,0.05912
31,0.003829418,0.884941813,125,0.05934
32,0.004079546,0.885334407,125,0.05956
33,0.004337497,0.88573806,125,0.0597
34,0.00460326,0.886152646,125,0.05998
35,0.004876824,0.886578036,125,0.0603
36,0.005158176,0.887014097,125,0.0606
37,0.005447307,0.887460693,125,0.06082
38,0.005744202,0.887917686,125,0.06124
39,0.006048849,0.888384935,125,0.06152
40,0.006361236,0.888862296,125,0.06194
41,0.00668135,0.889349623,125,0.0623
42,0.007009176,0.889846766,125,0.06264
43,0.007344702,0.890353573,125,0.0631
44,0.007687913,0.89086989,125,0.06336
45,0.008038794,0.891395561,125,0.0637
46,0.008397331,0.891930427,125,0.0641
47,0.008763509,0.892474327,125,0.06446
48,0.009137313,0.893027097,125,0.06494
49,0.009518727,0.893588572,125,0.06542
