IM,Minor,Mod,Sev
0,0,0,0
0.01,0.000607198,0.000148138,0
0.02,0.001214396,0.000296276,0
0.03,0.001821593,0.000444413,0
0.04,0.002428791,0.000592551,0
0.05,0.003035989,0.000740689,0
0.06,0.003643187,0.000888827,0
0.07,0.004250384,0.001036965,0
0.08,0.004857582,0.001185102,0
0.09,0.00546478,0.00133324,0
0.1,0.006071978,0.001766795,0
0.11,0.006679176,0.002327921,0
0.12,0.007286373,0.002889048,0
0.13,0.007893571,0.003450174,0.001315055
0.14,0.008500769,0.004011301,0.001732632
0.15,0.009107967,0.004572427,0.002150209
0.16,0.009715165,0.005133553,0.002567786
0.17,0.011105002,0.00569468,0.002985363
0.18,0.01664377,0.006255806,0.00340294
0.19,0.022182538,0.006816933,0.003820517
0.2,0.027721306,0.007378059,0.004238094
0.21,0.033260074,0.007939186,0.004655671
0.22,0.038798842,0.008500312,0.005073248
0.23,0.04433761,0.009061439,0.005490825
0.24,0.050214041,0.009622565,0.005908402
0.25,0.060149476,0.010183692,0.00632598
0.26,0.070084911,0.010744818,0.006743557
0.27,0.080020346,0.011305945,0.007161134
0.28,0.089955781,0.011867071,0.007578711
0.29,0.099891216,0.012428198,0.007996288
0.3,0.109826651,0.012989324,0.008413865
0.31,0.119762086,0.013550451,0.008831442
0.32,0.129697521,0.014111577,0.009249019
0.33,0.143180273,0.014672704,0.009666596
0.34,0.158695883,0.01523383,0.010084173
0.35,0.174211493,0.015794957,0.01050175
0.36,0.189727103,0.016356083,0.010919327
0.37,0.205242713,0.01691721,0.011336904
0.38,0.220699709,0.017478336,0.011754481
0.39,0.235166776,0.018039463,0.012172059
0.4,0.249633844,0.018600589,0.012589636
0.41,0.264100911,0.019161716,0.013007213
0.42,0.278567978,0.019722842,0.01342479
0.43,0.293035045,0.020283969,0.013842367
0.44,0.306784094,0.021453892,0.014259944
0.45,0.320289444,0.024217609,0.014677521
0.46,0.333794793,0.026981327,0.015095098
0.47,0.347300143,0.029745044,0.015512675
0.48,0.360805493,0.032508762,0.015930252
0.49,0.376355726,0.03527248,0.016347829
0.5,0.391928077,0.038036197,0.016765406
0.51,0.407500427,0.040799915,0.017182983
0.52,0.423072777,0.043563633,0.017600561
0.53,0.438645128,0.04632735,0.018018138
0.54,0.450714908,0.049091068,0.018435715
0.55,0.462668528,0.051854786,0.018853292
0.56,0.474622147,0.054618503,0.019270869
0.57,0.486575766,0.058064054,0.019688446
0.58,0.498529386,0.063097523,0.020106023
0.59,0.511483235,0.068130992,0.0205236
0.6,0.526232353,0.073164461,0.020941177
0.61,0.540981471,0.07819793,0.021358754
0.62,0.55573059,0.083231398,0.021776331
0.63,0.570479708,0.088264867,0.022193908
0.64,0.585228826,0.093298336,0.022611485
0.65,0.597705478,0.098331805,0.023029062
0.66,0.609509079,0.103365274,0.02344664
0.67,0.621312681,0.10838564,0.023864217
0.68,0.633116282,0.113400638,0.024281794
0.69,0.644919883,0.118415636,0.024699371
0.7,0.656723484,0.123430634,0.025116948
0.71,0.668527085,0.128445632,0.025534525
0.72,0.679406324,0.13346063,0.025952102
0.73,0.686496195,0.138475628,0.026369679
0.74,0.693586066,0.143490626,0.026787256
0.75,0.700675936,0.148505624,0.027204833
0.76,0.707765807,0.153520622,0.02762241
0.77,0.714855678,0.158535621,0.028039987
0.78,0.721945549,0.163894596,0.028552054
0.79,0.72903542,0.169395438,0.030304226
0.8,0.736125291,0.17489628,0.032056399
0.81,0.743215162,0.180397122,0.033808572
0.82,0.750305033,0.185897964,0.035560744
0.83,0.757394904,0.191398806,0.037312917
0.84,0.764484775,0.196899648,0.039065089
0.85,0.771471949,0.20240049,0.040817262
0.86,0.778426976,0.207901332,0.042569434
0.87,0.785382004,0.214443051,0.044321607
0.88,0.792337031,0.221471898,0.046073779
0.89,0.799292059,0.228500746,0.047975476
0.9,0.806247086,0.235529593,0.051335438
