Time,Disf
4,0.107119313
5,0.042358712
6,0.037114004
7,0.033466262
8,0.030914622
9,0.029058762
10,0.027708585
11,0.026673198
12,0.025848254
13,0.025193769
14,0.024639298
15,0.024165685
16,0.023739098
17,0.023353488
18,0.022999756
19,0.02265759
20,0.022340559
21,0.022028383
22,0.021728351
23,0.021442564
24,0.021165277
25,0.020898715
26,0.02063137
27,0.020370626
28,0.020113948
29,0.019865574
30,0.019623514
31,0.019384146
32,0.019151567
33,0.018925157
34,0.018699298
35,0.018479159
36,0.018260032
37,0.018046135
38,0.017833561
39,0.017627702
40,0.017425777
41,0.017224733
42,0.017029876
43,0.016843643
44,0.016653633
45,0.016472369
46,0.016288876
47,0.016111413
48,0.015938205
49,0.015766551
50,0.015592997
51,0.01542624
52,0.015262349
53,0.015102349
54,0.01494538
55,0.01479089
56,0.014639123
57,0.014491814
58,0.014343279
59,0.014197649
60,0.014055363
61,0.013911067
62,0.013774672
63,0.013636115
64,0.013500831
65,0.013368554
66,0.01323674
67,0.013105961
68,0.012982426
69,0.012853454
70,0.012731672
71,0.012609619
72,0.012491145
73,0.012372285
74,0.012256698
75,0.01214059
76,0.012029241
77,0.011917121
78,0.011808551
79,0.011700844
80,0.011594067
81,0.011487762
82,0.011384824
83,0.0112826
84,0.011180189
85,0.011083369
86,0.010984842
87,0.010887506
88,0.010790888
89,0.010692777
90,0.010599307
91,0.010504369
92,0.010411996
93,0.010320598
94,0.010231463
95,0.010141714
96,0.010054231
97,0.009968687
98,0.009884225
99,0.009799047
100,0.009717608
101,0.00963764
102,0.009556493
103,0.009477657
104,0.009398046
105,0.009319695
106,0.009241928
107,0.009165773
108,0.009089616
109,0.009014419
110,0.00893857
111,0.008864892
112,0.008791623
113,0.008718475
114,0.008646024
115,0.008575543
116,0.008505568
117,0.008437162
118,0.008369967
119,0.008302696
120,0.008235739
121,0.008171275
122,0.008108213
123,0.008044643
124,0.00798213
125,0.007920899
126,0.007860755
127,0.007798533
128,0.007738446
129,0.00767686
130,0.007617059
131,0.007558422
132,0.007499879
133,0.00744395
134,0.007389362
135,0.007332321
136,0.007277536
137,0.007223464
138,0.007169654
139,0.00711438
140,0.007060659
141,0.007008761
142,0.006957118
143,0.006903815
144,0.006850502
145,0.006799037
146,0.006749117
147,0.006698887
148,0.006649242
149,0.006599683
150,0.006550672
151,0.006504696
152,0.006457162
153,0.006409313
154,0.006362838
155,0.006316323
156,0.0062714
157,0.006226808
158,0.006181243
159,0.00613738
160,0.006092666
161,0.006050667
162,0.006008569
163,0.005965223
164,0.005921434
165,0.005879523
166,5.84E-03
167,5.79E-03
168,5.75E-03
169,5.71E-03
170,5.67E-03
171,5.63E-03
172,5.59E-03
173,5.55E-03
174,5.51E-03
175,5.48E-03
176,5.44E-03
177,5.40E-03
178,5.36E-03
179,5.33E-03
180,5.29E-03
181,5.25E-03
182,5.22E-03
183,5.18E-03
184,5.14E-03
185,5.11E-03
186,5.07E-03
187,5.04E-03
188,5.01E-03
189,4.97E-03
190,4.94E-03
191,4.90E-03
192,4.87E-03
193,4.84E-03
194,4.81E-03
195,4.78E-03
196,4.75E-03
197,4.71E-03
198,4.68E-03
199,4.65E-03
200,4.62E-03
201,4.59E-03
202,4.56E-03
203,4.53E-03
204,4.50E-03
205,4.47E-03
206,4.44E-03
207,4.41E-03
208,4.38E-03
209,4.35E-03
210,4.32E-03
211,4.30E-03
212,4.27E-03
213,4.24E-03
214,4.21E-03
215,4.19E-03
216,4.16E-03
217,4.13E-03
218,4.11E-03
219,4.08E-03
220,4.06E-03
221,4.03E-03
222,4.01E-03
223,3.98E-03
224,3.96E-03
225,3.93E-03
226,3.91E-03
227,3.88E-03
228,3.86E-03
229,3.84E-03
230,3.81E-03
231,3.79E-03
232,3.76E-03
233,3.74E-03
234,3.72E-03
235,3.69E-03
236,3.67E-03
237,3.65E-03
238,3.63E-03
239,3.60E-03
240,3.58E-03
241,3.56E-03
242,3.54E-03
243,3.52E-03
244,3.49E-03
245,3.47E-03
246,3.45E-03
247,3.43E-03
248,3.41E-03
249,3.39E-03
250,3.37E-03
251,3.35E-03
252,3.33E-03
253,3.31E-03
254,3.29E-03
255,3.27E-03
256,3.25E-03
257,3.23E-03
258,3.21E-03
259,3.19E-03
260,3.17E-03
261,3.15E-03
262,3.14E-03
263,3.12E-03
264,3.10E-03
265,3.08E-03
266,3.06E-03
267,3.04E-03
268,3.03E-03
269,3.01E-03
270,2.99E-03
271,2.97E-03
272,2.96E-03
273,2.94E-03
274,2.92E-03
275,2.90E-03
276,2.89E-03
277,2.87E-03
278,2.85E-03
279,2.83E-03
280,2.82E-03
281,2.80E-03
282,2.78E-03
283,2.77E-03
284,2.75E-03
285,2.74E-03
286,2.72E-03
287,2.70E-03
288,2.69E-03
289,2.67E-03
290,2.66E-03
291,2.64E-03
292,2.63E-03
293,2.61E-03
294,2.60E-03
295,2.58E-03
296,2.57E-03
297,2.55E-03
298,2.54E-03
299,2.52E-03
300,2.51E-03
301,2.50E-03
302,2.48E-03
303,2.47E-03
304,2.45E-03
305,2.44E-03
306,2.42E-03
307,2.41E-03
308,2.40E-03
309,2.38E-03
310,2.37E-03
311,2.36E-03
312,2.34E-03
313,2.33E-03
314,2.32E-03
315,2.30E-03
316,2.29E-03
317,2.28E-03
318,2.26E-03
319,2.25E-03
320,2.24E-03
321,2.23E-03
322,2.21E-03
323,2.20E-03
324,2.19E-03
325,2.18E-03
326,2.17E-03
327,2.15E-03
328,2.14E-03
329,2.13E-03
330,2.12E-03
331,2.11E-03
332,2.09E-03
333,2.08E-03
334,2.07E-03
335,2.06E-03
336,2.05E-03
337,2.04E-03
338,2.02E-03
339,2.01E-03
340,2.00E-03
341,1.99E-03
342,1.98E-03
343,1.97E-03
344,1.96E-03
345,1.95E-03
346,1.94E-03
347,1.93E-03
348,1.92E-03
349,1.91E-03
350,1.90E-03
351,1.89E-03
352,1.88E-03
353,1.87E-03
354,1.85E-03
355,1.85E-03
356,1.83E-03
357,1.82E-03
358,1.81E-03
359,1.81E-03
360,1.80E-03
361,1.79E-03
362,1.78E-03
363,1.77E-03
364,1.76E-03
365,1.75E-03
366,1.74E-03
367,1.73E-03
368,1.72E-03
369,1.71E-03
370,1.70E-03
371,1.70E-03
372,1.69E-03
373,1.68E-03
374,1.67E-03
375,1.66E-03
376,1.65E-03
377,1.64E-03
378,1.63E-03
379,1.62E-03
380,1.62E-03
381,1.61E-03
382,1.60E-03
383,1.59E-03
384,1.58E-03
385,1.58E-03
386,1.57E-03
387,1.56E-03
388,1.55E-03
389,1.54E-03
390,1.54E-03
391,1.53E-03
392,1.52E-03
393,1.51E-03
394,1.51E-03
395,1.50E-03
396,1.49E-03
397,1.48E-03
398,1.47E-03
399,1.47E-03
400,1.46E-03
401,1.45E-03
402,1.44E-03
403,1.44E-03
404,1.43E-03
405,1.42E-03
406,1.42E-03
407,1.41E-03
408,1.40E-03
409,1.39E-03
410,1.39E-03
411,1.38E-03
412,1.37E-03
413,1.37E-03
414,1.36E-03
415,1.35E-03
416,1.34E-03
417,1.34E-03
418,1.33E-03
419,1.32E-03
420,1.32E-03
421,1.31E-03
422,1.30E-03
423,1.30E-03
424,1.29E-03
425,1.28E-03
426,1.28E-03
427,1.27E-03
428,1.26E-03
429,1.26E-03
430,1.25E-03
431,1.24E-03
432,1.24E-03
433,1.23E-03
434,1.23E-03
435,1.22E-03
436,1.21E-03
437,1.21E-03
438,1.20E-03
439,1.19E-03
440,1.19E-03
441,1.18E-03
442,1.18E-03
443,1.17E-03
444,1.16E-03
445,1.16E-03
446,1.15E-03
447,1.15E-03
448,1.14E-03
449,1.14E-03
450,1.13E-03
451,1.12E-03
452,1.12E-03
453,1.11E-03
454,1.11E-03
455,1.10E-03
456,1.10E-03
457,1.09E-03
458,1.08E-03
459,1.08E-03
460,1.07E-03
461,1.07E-03
462,1.06E-03
463,1.06E-03
464,1.05E-03
465,1.05E-03
466,1.04E-03
467,1.04E-03
468,1.03E-03
469,1.03E-03
470,1.02E-03
471,1.01E-03
472,1.01E-03
473,1.01E-03
474,1.00E-03
475,9.95E-04
476,9.90E-04
477,9.84E-04
478,9.79E-04
479,9.75E-04
480,9.70E-04
481,9.65E-04
482,9.60E-04
483,9.54E-04
484,9.50E-04
485,9.45E-04
486,9.40E-04
487,9.35E-04
488,9.31E-04
489,9.26E-04
490,9.21E-04
491,9.16E-04
492,9.12E-04
493,9.07E-04
494,9.02E-04
495,8.97E-04
496,8.93E-04
497,8.89E-04
498,8.84E-04
499,8.80E-04
500,8.76E-04
501,8.71E-04
502,8.67E-04
503,8.62E-04
504,8.57E-04
505,8.53E-04
506,8.48E-04
507,8.44E-04
508,8.40E-04
509,8.36E-04
510,8.33E-04
511,8.29E-04
512,8.25E-04
513,8.21E-04
514,8.17E-04
515,8.12E-04
516,8.08E-04
517,8.03E-04
518,7.99E-04
519,7.95E-04
520,7.91E-04
521,7.87E-04
522,7.83E-04
523,7.79E-04
524,7.76E-04
525,7.72E-04
526,7.68E-04
527,7.64E-04
528,7.60E-04
529,7.56E-04
530,7.53E-04
531,7.49E-04
532,7.45E-04
533,7.42E-04
534,7.38E-04
535,7.34E-04
536,7.30E-04
537,7.27E-04
538,7.23E-04
539,7.19E-04
540,7.16E-04
541,7.12E-04
542,7.09E-04
543,7.05E-04
544,7.01E-04
545,6.98E-04
546,6.95E-04
547,6.91E-04
548,6.88E-04
549,6.85E-04
550,6.81E-04
551,6.78E-04
552,6.75E-04
553,6.72E-04
554,6.68E-04
555,6.65E-04
556,6.61E-04
557,6.58E-04
558,6.54E-04
559,6.50E-04
560,6.47E-04
561,6.44E-04
562,6.41E-04
563,6.38E-04
564,6.34E-04
565,6.31E-04
566,6.28E-04
567,6.25E-04
568,6.22E-04
569,6.19E-04
570,6.16E-04
571,6.13E-04
572,6.10E-04
573,6.06E-04
574,6.03E-04
575,6.00E-04
576,5.97E-04
577,5.94E-04
578,5.91E-04
579,5.88E-04
580,5.85E-04
581,5.82E-04
582,5.78E-04
583,5.75E-04
584,5.72E-04
585,5.70E-04
586,5.67E-04
587,5.64E-04
588,5.61E-04
589,5.58E-04
590,5.55E-04
591,5.52E-04
592,5.50E-04
593,5.47E-04
594,5.44E-04
595,5.42E-04
596,5.39E-04
597,5.36E-04
598,5.34E-04
599,5.31E-04
600,5.28E-04
601,5.25E-04
602,5.23E-04
603,5.20E-04
604,5.18E-04
605,5.15E-04
606,5.12E-04
607,5.09E-04
608,5.06E-04
609,5.04E-04
610,5.01E-04
611,4.98E-04
612,4.96E-04
613,4.93E-04
614,4.91E-04
615,4.88E-04
616,4.86E-04
617,4.83E-04
618,4.81E-04
619,4.79E-04
620,4.76E-04
621,4.74E-04
622,4.72E-04
623,4.69E-04
624,4.67E-04
625,4.64E-04
626,4.62E-04
627,4.60E-04
628,4.58E-04
629,4.56E-04
630,4.53E-04
631,4.51E-04
632,4.48E-04
633,4.47E-04
634,4.45E-04
635,4.42E-04
636,4.40E-04
637,4.37E-04
638,4.35E-04
639,4.33E-04
640,4.31E-04
641,4.29E-04
642,4.27E-04
643,4.24E-04
644,4.22E-04
645,4.20E-04
646,4.17E-04
647,4.15E-04
648,4.13E-04
649,4.11E-04
650,4.09E-04
651,4.07E-04
652,4.05E-04
653,4.03E-04
654,4.01E-04
655,3.99E-04
656,3.97E-04
657,3.95E-04
658,3.92E-04
659,3.90E-04
660,3.88E-04
661,3.86E-04
662,3.84E-04
663,3.82E-04
664,3.81E-04
665,3.79E-04
666,3.77E-04
667,3.74E-04
668,3.73E-04
669,3.71E-04
670,3.69E-04
671,3.66E-04
672,3.64E-04
673,3.63E-04
674,3.61E-04
675,3.59E-04
676,3.57E-04
677,3.55E-04
678,3.53E-04
679,3.51E-04
680,3.49E-04
681,3.47E-04
682,3.45E-04
683,3.44E-04
684,3.42E-04
685,3.40E-04
686,3.39E-04
687,3.37E-04
688,3.35E-04
689,3.34E-04
690,3.32E-04
691,3.30E-04
692,3.28E-04
693,3.27E-04
694,3.25E-04
695,3.23E-04
696,3.22E-04
697,3.20E-04
698,3.19E-04
699,3.17E-04
700,3.15E-04
701,3.13E-04
702,3.11E-04
703,3.10E-04
704,3.08E-04
705,3.07E-04
706,3.05E-04
707,3.03E-04
708,3.02E-04
709,3.00E-04
710,2.98E-04
711,2.97E-04
712,2.95E-04
713,2.94E-04
714,2.92E-04
715,2.90E-04
716,2.89E-04
717,2.88E-04
718,2.86E-04
719,2.84E-04
720,2.83E-04
721,2.81E-04
722,2.80E-04
723,2.78E-04
724,2.76E-04
725,2.75E-04
726,2.73E-04
727,2.72E-04
728,2.70E-04
729,2.69E-04
730,2.67E-04
731,2.66E-04
732,2.64E-04
733,2.63E-04
734,2.61E-04
735,2.60E-04
736,2.59E-04
737,2.57E-04
738,2.56E-04
739,2.54E-04
740,2.53E-04
741,2.51E-04
742,2.50E-04
743,2.48E-04
744,2.47E-04
745,2.45E-04
746,2.44E-04
747,2.43E-04
748,2.41E-04
749,2.39E-04
750,2.38E-04
751,2.36E-04
752,2.35E-04
753,2.33E-04
754,2.32E-04
755,2.31E-04
756,2.30E-04
757,2.28E-04
758,2.26E-04
759,2.25E-04
760,2.24E-04
761,2.23E-04
762,2.21E-04
763,2.20E-04
764,2.19E-04
765,2.18E-04
766,2.17E-04
767,2.16E-04
768,2.14E-04
769,2.13E-04
770,2.11E-04
771,2.10E-04
772,2.09E-04
773,2.08E-04
774,2.06E-04
775,2.06E-04
776,2.04E-04
777,2.03E-04
778,2.02E-04
779,2.00E-04
780,1.99E-04
781,1.98E-04
782,1.97E-04
783,1.95E-04
784,1.94E-04
785,1.93E-04
786,1.92E-04
787,1.91E-04
788,1.89E-04
789,1.88E-04
790,1.87E-04
791,1.85E-04
792,1.84E-04
793,1.83E-04
794,1.82E-04
795,1.81E-04
796,1.80E-04
797,1.79E-04
798,1.77E-04
799,1.76E-04
800,1.76E-04
801,1.74E-04
802,1.73E-04
803,1.72E-04
804,1.71E-04
805,1.70E-04
806,1.69E-04
807,1.68E-04
808,1.67E-04
809,1.66E-04
810,1.65E-04
811,1.64E-04
812,1.63E-04
813,1.62E-04
814,1.60E-04
815,1.59E-04
816,1.58E-04
817,1.57E-04
818,1.56E-04
819,1.55E-04
820,1.54E-04
821,1.53E-04
822,1.52E-04
823,1.51E-04
824,1.50E-04
825,1.49E-04
826,1.48E-04
827,1.47E-04
828,1.46E-04
829,1.45E-04
830,1.44E-04
831,1.43E-04
832,1.42E-04
833,1.41E-04
834,1.40E-04
835,1.39E-04
836,1.38E-04
837,1.37E-04
838,1.36E-04
839,1.35E-04
840,1.34E-04
841,1.33E-04
842,1.32E-04
843,1.31E-04
844,1.30E-04
845,1.30E-04
846,1.29E-04
847,1.28E-04
848,1.27E-04
849,1.26E-04
850,1.25E-04
851,1.24E-04
852,1.23E-04
853,1.23E-04
854,1.22E-04
855,1.21E-04
856,1.20E-04
857,1.19E-04
858,1.18E-04
859,1.17E-04
860,1.16E-04
861,1.16E-04
862,1.15E-04
863,1.14E-04
864,1.13E-04
865,1.12E-04
866,1.12E-04
867,1.11E-04
868,1.10E-04
869,1.09E-04
870,1.08E-04
871,1.07E-04
872,1.06E-04
873,1.05E-04
874,1.05E-04
875,1.04E-04
876,1.03E-04
877,1.02E-04
878,1.01E-04
879,1.00E-04
880,9.94E-05
881,9.88E-05
882,9.80E-05
883,9.72E-05
884,9.64E-05
885,9.57E-05
886,9.50E-05
887,9.41E-05
888,9.33E-05
889,9.26E-05
890,9.18E-05
891,9.11E-05
892,9.01E-05
893,8.93E-05
894,8.85E-05
895,8.78E-05
896,8.70E-05
897,8.62E-05
898,8.56E-05
899,8.48E-05
900,8.39E-05
901,8.31E-05
902,8.24E-05
903,8.16E-05
904,8.07E-05
905,8.00E-05
906,7.93E-05
907,7.87E-05
908,7.80E-05
909,7.74E-05
910,7.67E-05
911,7.60E-05
912,7.53E-05
913,7.44E-05
914,7.35E-05
915,7.29E-05
916,7.22E-05
917,7.16E-05
918,7.09E-05
919,7.03E-05
920,6.97E-05
921,6.89E-05
922,6.82E-05
923,6.74E-05
924,6.66E-05
925,6.59E-05
926,6.52E-05
927,6.44E-05
928,6.36E-05
929,6.29E-05
930,6.23E-05
931,6.17E-05
932,6.11E-05
933,6.06E-05
934,5.99E-05
935,5.91E-05
936,5.85E-05
937,5.79E-05
938,5.70E-05
939,5.64E-05
940,5.59E-05
941,5.53E-05
942,5.45E-05
943,5.40E-05
944,5.33E-05
945,5.27E-05
946,5.22E-05
947,5.17E-05
948,5.11E-05
949,5.05E-05
950,4.97E-05
951,4.92E-05
952,4.86E-05
953,4.80E-05
954,4.75E-05
955,4.68E-05
956,4.62E-05
957,4.56E-05
958,4.50E-05
959,4.44E-05
960,4.38E-05
961,4.33E-05
962,4.25E-05
963,4.20E-05
964,4.14E-05
965,4.09E-05
966,4.02E-05
967,3.96E-05
968,3.89E-05
969,3.83E-05
970,3.77E-05
971,3.72E-05
972,3.66E-05
973,3.59E-05
974,3.55E-05
975,3.51E-05
976,3.47E-05
977,3.41E-05
978,3.37E-05
979,3.31E-05
980,3.26E-05
981,3.18E-05
982,3.13E-05
983,3.08E-05
984,3.03E-05
985,2.98E-05
986,2.93E-05
987,2.88E-05
988,2.80E-05
989,2.75E-05
990,2.69E-05
991,2.61E-05
992,2.56E-05
993,2.50E-05
994,2.46E-05
995,2.39E-05
996,2.33E-05
997,2.27E-05
998,2.20E-05
999,2.15E-05
1000,2.07E-05
