IM,Haz_diff
10,0.030526058
11,0.031244347
12,0.032564193
13,0.033652827
14,0.0345155
15,0.035158951
16,0.035591321
17,0.035822043
18,0.035861698
19,0.035721857
20,0.035414916
21,0.034953923
22,0.0343524
23,0.033624177
24,0.032783224
25,0.031843492
26,0.03081877
27,0.029722547
28,0.028567893
29,0.027367353
30,0.026132852
31,0.024875622
32,0.023606139
33,0.022334076
34,0.02106827
35,0.019816706
36,0.018586505
37,0.017383934
38,0.016214421
39,0.015082573
40,0.013992217
41,0.012946433
42,0.011947597
43,0.010997436
44,0.010097072
45,0.009247079
46,0.008447538
47,0.007698088
48,0.006997983
49,0.006346142
50,0.0057412
51,0.005181557
52,0.00466542
53,0.00419085
54,0.003755793
55,0.003358125
56,0.002995672
57,0.002666249
58,0.002367676
59,0.002097806
60,0.001854536
61,0.001635829
62,0.001439722
63,0.001264336
64,0.001107885
65,0.000968679
66,0.000845128
67,0.000735745
68,0.000639144
69,0.00055404
70,0.000479245
71,0.000413669
72,0.000356312
73,0.000306263
74,0.000262693
75,0.000224851
76,0.000192061
77,0.000163712
78,0.000139261
79,0.000118217
80,0.000100148
81,8.47E-05
82,7.14E-05
83,6.01E-05
84,5.05E-05
85,4.24E-05
86,3.55E-05
87,2.96E-05
88,2.47E-05
89,2.05E-05
90,1.71E-05
91,1.41E-05
92,1.17E-05
93,9.65E-06
94,7.95E-06
95,6.53E-06
96,5.36E-06
97,4.39E-06
98,3.59E-06
99,2.93E-06
100,2.38E-06
101,1.94E-06
102,1.57E-06
103,1.27E-06
104,1.03E-06
105,8.27E-07
106,6.66E-07
107,5.35E-07
108,4.29E-07
109,3.43E-07
110,2.74E-07
111,2.18E-07
112,1.74E-07
113,1.38E-07
114,1.09E-07
115,8.65E-08
116,6.83E-08
117,5.38E-08
118,4.24E-08
119,3.33E-08
120,2.61E-08
121,2.04E-08
122,1.59E-08
123,1.24E-08
124,9.65E-09
125,8.44E-09
