Time,P1,P2,IM,Rec
4,0.999770291,0.999690894,0.01,0.0002
14,0.999849688,0.999842685,0.01,4.00E-05
24,0.99985165,0.999850586,0.01,0
34,0.999851826,0.999851585,0.01,0
44,0.999851854,0.999851784,0.01,0
54,0.99985186,0.999851836,0.01,0
64,0.999851861,0.999851852,0.01,0
74,0.999851862,0.999851858,0.01,0
84,0.999851862,0.99985186,0.01,0
94,0.999851862,0.999851861,0.01,0
104,0.999851862,0.999851862,0.01,0
114,0.999851862,0.999851862,0.01,0
124,0.999851862,0.999851862,0.01,0
134,0.999851862,0.999851862,0.01,0
144,0.999851862,0.999851862,0.01,0
154,0.999851862,0.999851862,0.01,0
164,0.999851862,0.999851862,0.01,0
174,0.999851862,0.999851862,0.01,0
184,0.999851862,0.999851862,0.01,0
194,0.999851862,0.999851862,0.01,0
204,0.999851862,0.999851862,0.01,0
214,0.999851862,0.999851862,0.01,0
224,0.999851862,0.999851862,0.01,0
234,0.999851862,0.999851862,0.01,0
244,0.999851862,0.999851862,0.01,0
254,0.999851862,0.999851862,0.01,0
264,0.999851862,0.999851862,0.01,0
274,0.999851862,0.999851862,0.01,0
284,0.999851862,0.999851862,0.01,0
294,0.999851862,0.999851862,0.01,0
304,0.999851862,0.999851862,0.01,0
314,0.999851862,0.999851862,0.01,0
324,0.999851862,0.999851862,0.01,0
334,0.999851862,0.999851862,0.01,0
344,0.999851862,0.999851862,0.01,0
354,0.999851862,0.999851862,0.01,0
364,0.999851862,0.999851862,0.01,0
374,0.999851862,0.999851862,0.01,0
384,0.999851862,0.999851862,0.01,0
394,0.999851862,0.999851862,0.01,0
404,0.999851862,0.999851862,0.01,0
414,0.999851862,0.999851862,0.01,0
424,0.999851862,0.999851862,0.01,0
434,0.999851862,0.999851862,0.01,0
444,0.999851862,0.999851862,0.01,0
454,0.999851862,0.999851862,0.01,0
464,0.999851862,0.999851862,0.01,0
474,0.999851862,0.999851862,0.01,0
484,0.999851862,0.999851862,0.01,0
494,0.999851862,0.999851862,0.01,0
504,0.999851862,0.999851862,0.01,0
514,0.999851862,0.999851862,0.01,0
524,0.999851862,0.999851862,0.01,0
534,0.999851862,0.999851862,0.01,0
544,0.999851862,0.999851862,0.01,0
554,0.999851862,0.999851862,0.01,0
564,0.999851862,0.999851862,0.01,0
574,0.999851862,0.999851862,0.01,0
584,0.999851862,0.999851862,0.01,0
594,0.999851862,0.999851862,0.01,0
601,0.999851862,0.999851862,0.01,0
611,0.999851862,0.999851862,0.01,0
621,0.999851862,0.999851862,0.01,0
631,0.999851862,0.999851862,0.01,0
641,0.999851862,0.999851862,0.01,0
651,0.999851862,0.999851862,0.01,0
661,0.999851862,0.999851862,0.01,0
671,0.999851862,0.999851862,0.01,0
681,0.999851862,0.999851862,0.01,0
691,0.999851862,0.999851862,0.01,0
701,0.999851862,0.999851862,0.01,0
711,0.999851862,0.999851862,0.01,0
721,0.999851862,0.999851862,0.01,0
731,0.999851862,0.999851862,0.01,0
741,0.999851862,0.999851862,0.01,0
751,0.999851862,0.999851862,0.01,0
761,0.999851862,0.999851862,0.01,0
771,0.999851862,0.999851862,0.01,0
781,0.999851862,0.999851862,0.01,0
791,0.999851862,0.999851862,0.01,0
801,0.999851862,0.999851862,0.01,0
811,0.999851862,0.999851862,0.01,0
821,0.999851862,0.999851862,0.01,0
831,0.999851862,0.999851862,0.01,0
841,0.999851862,0.999851862,0.01,0
851,0.999851862,0.999851862,0.01,0
861,0.999851862,0.999851862,0.01,0
871,0.999851862,0.999851862,0.01,0
881,0.999851862,0.999851862,0.01,0
891,0.999851862,0.999851862,0.01,0
901,0.999851862,0.999851862,0.01,0
911,0.999851862,0.999851862,0.01,0
921,0.999851862,0.999851862,0.01,0
931,0.999851862,0.999851862,0.01,0
941,0.999851862,0.999851862,0.01,0
951,0.999851862,0.999851862,0.01,0
961,0.999851862,0.999851862,0.01,0
971,0.999851862,0.999851862,0.01,0
981,0.999851862,0.999851862,0.01,0
991,0.999851862,0.999851862,0.01,0
4,0.997468209,0.996723609,0.1,0.00124
14,0.998212817,0.998147139,0.1,4.00E-05
24,0.99823122,0.998221234,0.1,0
34,0.998232865,0.998230605,0.1,0
44,0.998233124,0.998232468,0.1,0
54,0.998233182,0.998232955,0.1,0
64,0.998233197,0.998233109,0.1,0
74,0.998233202,0.998233164,0.1,0
84,0.998233204,0.998233186,0.1,0
94,0.998233205,0.998233196,0.1,0
104,0.998233205,0.998233201,0.1,0
114,0.998233205,0.998233203,0.1,0
124,0.998233205,0.998233204,0.1,0
134,0.998233205,0.998233205,0.1,0
144,0.998233205,0.998233205,0.1,0
154,0.998233205,0.998233205,0.1,0
164,0.998233205,0.998233205,0.1,0
174,0.998233205,0.998233205,0.1,0
184,0.998233205,0.998233205,0.1,0
194,0.998233205,0.998233205,0.1,0
204,0.998233205,0.998233205,0.1,0
214,0.998233205,0.998233205,0.1,0
224,0.998233205,0.998233205,0.1,0
234,0.998233205,0.998233205,0.1,0
244,0.998233205,0.998233205,0.1,0
254,0.998233205,0.998233205,0.1,0
264,0.998233205,0.998233205,0.1,0
274,0.998233205,0.998233205,0.1,0
284,0.998233205,0.998233205,0.1,0
294,0.998233205,0.998233205,0.1,0
304,0.998233205,0.998233205,0.1,0
314,0.998233205,0.998233205,0.1,0
324,0.998233205,0.998233205,0.1,0
334,0.998233205,0.998233205,0.1,0
344,0.998233205,0.998233205,0.1,0
354,0.998233205,0.998233205,0.1,0
364,0.998233205,0.998233205,0.1,0
374,0.998233205,0.998233205,0.1,0
384,0.998233205,0.998233205,0.1,0
394,0.998233205,0.998233205,0.1,0
404,0.998233205,0.998233205,0.1,0
414,0.998233205,0.998233205,0.1,0
424,0.998233205,0.998233205,0.1,0
434,0.998233205,0.998233205,0.1,0
444,0.998233205,0.998233205,0.1,0
454,0.998233205,0.998233205,0.1,0
464,0.998233205,0.998233205,0.1,0
474,0.998233205,0.998233205,0.1,0
484,0.998233205,0.998233205,0.1,0
494,0.998233205,0.998233205,0.1,0
504,0.998233205,0.998233205,0.1,0
514,0.998233205,0.998233205,0.1,0
524,0.998233205,0.998233205,0.1,0
534,0.998233205,0.998233205,0.1,0
544,0.998233205,0.998233205,0.1,0
554,0.998233205,0.998233205,0.1,0
564,0.998233205,0.998233205,0.1,0
574,0.998233205,0.998233205,0.1,0
584,0.998233205,0.998233205,0.1,0
594,0.998233205,0.998233205,0.1,0
601,0.998233205,0.998233205,0.1,0
611,0.998233205,0.998233205,0.1,0
621,0.998233205,0.998233205,0.1,0
631,0.998233205,0.998233205,0.1,0
641,0.998233205,0.998233205,0.1,0
651,0.998233205,0.998233205,0.1,0
661,0.998233205,0.998233205,0.1,0
671,0.998233205,0.998233205,0.1,0
681,0.998233205,0.998233205,0.1,0
