Time,P11,P22
4,0.806,0.83224
5,0.78848,0.80924
6,0.7754,0.79244
7,0.76616,0.78176
8,0.75868,0.77444
9,0.75132,0.76904
10,0.74364,0.7644
11,0.73712,0.76096
12,0.72952,0.75888
13,0.72208,0.75692
14,0.71376,0.7558
15,0.70552,0.75436
16,0.69576,0.7528
17,0.68704,0.75104
18,0.6788,0.74952
19,0.6698,0.74812
20,0.66148,0.74664
21,0.6516,0.74512
22,0.64324,0.7436
23,0.6352,0.74228
24,0.62688,0.74088
25,0.618,0.73884
26,0.60772,0.73736
27,0.59868,0.73572
28,0.59084,0.73424
29,0.58156,0.73232
30,0.572,0.73032
31,0.5644,0.72828
32,0.5562,0.72592
33,0.54816,0.7236
34,0.54008,0.72144
35,0.5332,0.71952
36,0.5252,0.71712
37,0.5176,0.7146
38,0.50892,0.71208
39,0.5024,0.70988
40,0.4954,0.70716
41,0.48736,0.70468
42,0.47932,0.702
43,0.47328,0.69896
44,0.4668,0.6962
45,0.4604,0.69328
46,0.45332,0.6904
47,0.44636,0.6878
48,0.44016,0.68528
49,0.4344,0.68152
50,0.42796,0.67852
51,0.42152,0.67604
52,0.41624,0.67304
53,0.40952,0.66992
54,0.404,0.66656
55,0.3988,0.66344
56,0.3934,0.66056
57,0.38816,0.65732
58,0.38392,0.654
59,0.37836,0.65136
60,0.37304,0.6478
61,0.36768,0.64428
62,0.3628,0.64172
63,0.35844,0.6394
64,0.3534,0.6368
65,0.34848,0.63388
66,0.34364,0.63104
67,0.33852,0.62776
68,0.33348,0.62516
69,0.32872,0.6224
70,0.32472,0.61904
71,0.32024,0.6158
72,0.31612,0.61288
73,0.31224,0.60988
74,0.30736,0.60696
75,0.3034,0.60368
76,0.29928,0.60004
77,0.29544,0.59672
78,0.29076,0.59404
79,0.2868,0.59132
80,0.28316,0.58804
81,0.2796,0.58548
82,0.27544,0.58256
83,0.27176,0.5792
84,0.26808,0.5766
85,0.26448,0.57356
86,0.26008,0.57092
87,0.25668,0.5676
88,0.25356,0.56496
89,0.24996,0.56252
90,0.2466,0.55976
91,0.24348,0.55684
92,0.2404,0.55416
93,0.23732,0.55096
94,0.23432,0.54796
95,0.23124,0.54552
96,0.22856,0.54196
97,0.22604,0.53892
98,0.22416,0.53652
99,0.22152,0.53412
100,0.21876,0.53172
101,0.21644,0.52904
102,0.2136,0.52644
103,0.21104,0.52416
104,0.20808,0.52128
105,0.20528,0.51872
106,0.20272,0.51608
107,0.2004,0.5134
