Time,P1,P2,IM,Rec
4,0.9519878,0.994227656,40,0.0058
14,0.994085654,0.994283752,40,0.00576
24,0.994267602,0.994400394,40,0.00556
34,0.994312521,0.994573853,40,0.00552
44,0.994372374,0.994798685,40,0.00532
54,0.994446682,0.995068007,40,0.005
64,0.994534855,0.995373854,40,0.00476
74,0.994636197,0.995707565,40,0.00452
84,0.994749921,0.996060185,40,0.0042
94,0.994875155,0.996422864,40,0.0038
104,0.995010953,0.996787207,40,0.00328
114,0.99515631,0.997145581,40,0.00296
124,0.995310172,0.99749135,40,0.00252
134,0.995471447,0.997819027,40,0.00228
144,0.995639022,0.998124367,40,0.00212
154,0.995811773,0.998404366,40,0.00196
164,0.995988577,0.998657216,40,0.00172
174,0.996168326,0.998882194,40,0.00144
184,0.996349935,0.999079519,40,0.00112
194,0.996532356,0.999250191,40,0.00088
204,0.996714584,0.99939581,40,0.00072
214,0.996895669,0.999518402,40,0.00056
224,0.997074718,0.999620263,40,0.0004
234,0.997250908,0.999703811,40,0.00036
244,0.997423485,0.99977147,40,0.00032
254,0.99759177,0.999825577,40,0.00024
264,0.997755161,0.99986831,40,0.00016
274,0.997913135,0.999901647,40,0.00012
284,0.998065248,0.999927337,40,0.00012
294,0.998211132,0.999946896,40,8.00E-05
304,0.998350497,0.999961609,40,8.00E-05
4,0.465307613,0.794626452,60,0.205
14,0.792446854,0.796622292,60,0.20268
24,0.794684437,0.800772267,60,0.19748
34,0.79628471,0.80694376,60,0.19156
44,0.798417058,0.814943009,60,0.18484
54,0.801064416,0.824525201,60,0.17476
64,0.804205757,0.835406905,60,0.16316
74,0.807816383,0.847279944,60,0.15156
84,0.811868241,0.859825783,60,0.13936
94,0.816330292,0.872729483,60,0.12552
104,0.821168906,0.885692406,60,0.1134
114,0.82634828,0.898442978,60,0.10104
124,0.831830882,0.910745024,60,0.08912
134,0.837577899,0.922403431,60,0.07712
144,0.843549693,0.933267068,60,0.06696
154,0.84970625,0.943229137,60,0.057
164,0.856007616,0.952225254,60,0.04904
174,0.862414327,0.960229699,60,0.03968
184,0.868887797,0.967250326,60,0.03192
194,0.875390691,0.97332265,60,0.02616
204,0.881887262,0.978503588,60,0.02132
214,0.888343646,0.982865285,60,0.01708
224,0.89472812,0.986489376,60,0.01324
234,0.901011321,0.989461919,60,0.01048
244,0.907166415,0.991869163,60,0.0078
254,0.913169226,0.993794217,60,0.00568
264,0.918998327,0.995314613,60,0.00448
274,0.924635081,0.996500693,60,0.00344
284,0.930063646,0.997414729,60,0.00272
294,0.935270949,0.998110626,60,0.00216
304,0.940246612,0.998634105,60,0.0016
314,0.944982865,0.999023203,60,0.0014
324,0.949474419,0.999308999,60,0.001
334,0.953718324,0.999516451,60,0.00092
344,0.957713801,0.999665273,60,0.0008
354,0.961462072,0.999770793,60,0.00068
364,0.964966165,0.999844742,60,0.00064
374,0.968230723,0.999895968,60,0.0004
384,0.971261805,0.999931045,60,0.00036
394,0.974066688,0.999954788,60,0.00024
404,0.976653676,0.999970676,60,0.00016
414,0.979031909,0.999981186,60,8.00E-05
424,0.981211182,0.999988059,60,4.00E-05
434,0.98320178,0.999992503,60,4.00E-05
4,0.142597972,0.329817265,75,0.67344
14,0.307486737,0.336330166,75,0.66616
24,0.311540075,0.349872518,75,0.65324
34,0.316790797,0.370011569,75,0.63108
44,0.323787646,0.396115022,75,0.60436
54,0.33247485,0.427383995,75,0.57316
64,0.34278372,0.462893582,75,0.53604
74,0.35463356,0.501638132,75,0.49644
84,0.367932724,0.542578187,75,0.45652
94,0.382579802,0.58468603,75,0.41516
104,0.398464912,0.626987134,75,0.37316
114,0.415471073,0.668595281,75,0.3308
124,0.433475642,0.708739784,75,0.2902
134,0.452351786,0.746783939,75,0.25276
144,0.471969965,0.782234571,75,0.21572
154,0.4921994,0.814743172,75,0.18324
164,0.512909503,0.844099641,75,0.15412
174,0.53397126,0.870220047,75,0.12828
184,0.555258521,0.893130024,75,0.10756
194,0.576649211,0.912945463,75,0.08812
204,0.598026419,0.929852093,75,0.07084
214,0.619279373,0.944085348,75,0.05636
224,0.640304285,0.95591162,75,0.04448
234,0.66100505,0.965611736,75,0.03384
244,0.681293816,0.973467146,75,0.02648
254,0.701091404,0.979749055,75,0.02068
264,0.720327588,0.984710467,75,0.01456
274,0.738941248,0.98858093,75,0.011
284,0.756880385,0.991563644,75,0.00804
294,0.77410202,0.993834524,75,0.00624
304,0.790571983,0.995542761,75,0.00504
314,0.806264598,0.99681248,75,0.00348
324,0.821162293,0.997745099,75,0.00232
334,0.835255119,0.998422063,75,0.00172
344,0.848540227,0.998907707,75,0.00096
354,0.861021281,0.999252043,75,0.00056
364,0.872707852,0.999493357,75,0.0004
374,0.883614778,0.99966052,75,0.00032
384,0.893761524,0.999774983,75,0.00012
394,0.903171533,0.999852463,75,8.00E-05
404,0.911871597,0.999904308,75,8.00E-05
414,0.919891244,0.999938604,75,8.00E-05
4,0.051552959,0.23449921,85,0.76492
14,0.114815724,0.24193842,85,0.7592
24,0.119088954,0.257406861,85,0.7436
34,0.125233251,0.280410228,85,0.72032
44,0.133422281,0.310226295,85,0.69176
54,0.14359202,0.345942559,85,0.65424
64,0.155663614,0.386502567,85,0.61528
74,0.169544417,0.430757637,85,0.57264
84,0.185129197,0.477520472,85,0.52316
94,0.202301497,0.525617185,85,0.47576
104,0.220935104,0.573934646,85,0.42788
114,0.240895626,0.621460594,85,0.37948
124,0.262042136,0.667314728,85,0.33356
134,0.284228852,0.710769787,85,0.28836
144,0.307306833,0.751262455,85,0.25032
154,0.33112566,0.788394656,85,0.21432
164,0.355535074,0.821926406,85,0.18068
174,0.380386554,0.851761839,85,0.14856
184,0.405534799,0.877930232,85,0.12168
194,0.430839106,0.90056396,85,0.096
204,0.456164626,0.919875169,85,0.07792
214,0.481383478,0.936132777,85,0.06208
224,0.506375714,0.949641064,85,0.04948
234,0.531030125,0.960720798,85,0.03788
244,0.555244893,0.969693458,85,0.03
254,0.578928076,0.976868825,85,0.0234
264,0.601997932,0.982535883,85,0.0172
274,0.624383094,0.98695683,85,0.01308
284,0.646022596,0.990363767,85,0.00932
294,0.666865755,0.992957627,85,0.007
304,0.686871937,0.994908821,85,0.0052
314,0.706010206,0.996359129,85,0.00376
324,0.724258869,0.997424392,85,0.00292
334,0.741604945,0.998197638,85,0.00228
344,0.758043556,0.998752353,85,0.00148
354,0.773577278,0.999145663,85,0.00116
364,0.788215433,0.999421299,85,0.00076
374,0.801973376,0.999612237,85,0.00048
384,0.814871757,0.99974298,85,0.00044
394,0.826935793,0.999831479,85,0.00028
404,0.838194541,0.999890698,85,0.00016
414,0.848680211,0.999929872,85,8.00E-05
424,0.858427491,0.999955491,85,4.00E-05
434,0.867472921,0.999972056,85,4.00E-05
444,0.875854309,0.999982646,85,4.00E-05
4,0.010580361,0.343681451,95,0.65868
14,0.028345403,0.350059618,95,0.65272
24,0.032093349,0.363321817,95,0.64036
34,0.037691462,0.383044248,95,0.62072
44,0.045155713,0.408607694,95,0.59492
54,0.054430502,0.439229801,95,0.5654
64,0.06544733,0.474004794,95,0.52852
74,0.0781257,0.51194783,95,0.49192
84,0.092374152,0.552040951,95,0.44964
94,0.108091429,0.593277701,95,0.40884
104,0.125167744,0.634703715,95,0.36644
114,0.143486137,0.675451108,95,0.32256
124,0.162923885,0.714765134,95,0.28292
134,0.183353952,0.752022263,95,0.24576
144,0.204646443,0.786739522,95,0.21168
154,0.226670058,0.818575612,95,0.1804
164,0.249293496,0.847324778,95,0.15252
174,0.272386818,0.872904828,95,0.12672
184,0.295822721,0.895340862,95,0.10408
194,0.319477732,0.914746375,95,0.08504
204,0.343233286,0.931303255,95,0.06728
214,0.366976692,0.945242064,95,0.054
224,0.390601965,0.956823684,95,0.04224
234,0.41401053,0.966323132,95,0.03244
244,0.437111784,0.974016036,95,0.02524
254,0.459823519,0.98016799,95,0.01932
264,0.482072215,0.985026764,95,0.01436
274,0.50379319,0.988817158,95,0.01108
284,0.524930634,0.991738169,95,0.00844
294,0.545437519,0.99396207,95,0.00636
304,0.5652754,0.995634968,95,0.00444
314,0.584414127,0.996878421,95,0.00308
324,0.602831462,0.997791747,95,0.00216
334,0.62051263,0.998454706,95,0.0016
344,0.637449808,0.998930303,95,0.0012
354,0.653641572,0.999267516,95,0.00072
364,0.669092302,0.999503838,95,0.00052
374,0.683811574,0.999667543,95,0.00036
384,0.697813536,0.999779638,95,0.0002
394,0.711116291,0.999855515,95,0.00012
404,0.723741284,0.999906287,95,0.00012
414,0.735712709,0.999939874,95,4.00E-05
424,0.747056947,0.99996184,95,4.00E-05
434,0.757802032,0.999976042,95,4.00E-05
444,0.767977154,0.999985121,95,4.00E-05
4,0.000282398,0.560863315,105,0.44068
14,0.001874303,0.565130887,105,0.43644
24,0.004698304,0.574004503,105,0.4284
34,0.008983806,0.587200599,105,0.41624
44,0.01470276,0.604304865,105,0.39752
54,0.021816802,0.624793834,105,0.37628
64,0.030278647,0.648061462,105,0.35284
74,0.040032694,0.673448796,105,0.3272
84,0.051015723,0.700274734,105,0.2996
94,0.063157678,0.727865863,105,0.27096
104,0.076382529,0.755583626,105,0.24324
114,0.090609175,0.782847331,105,0.21544
124,0.105752407,0.809151983,105,0.18836
134,0.121723877,0.834080384,105,0.1634
144,0.138433084,0.857309382,105,0.14
154,0.155788355,0.878610616,105,0.11924
164,0.173697796,0.897846418,105,0.10116
174,0.19207021,0.914961793,105,0.08316
184,0.210815967,0.929973537,105,0.06796
194,0.229847807,0.942957586,105,0.0554
204,0.249081579,0.954035642,105,0.04432
214,0.268436895,0.96336197,105,0.03584
224,0.287837701,0.971111126,105,0.0282
234,0.307212763,0.977467118,105,0.02164
244,0.326496049,0.982614369,105,0.01656
254,0.345627035,0.986730585,105,0.01248
264,0.364550904,0.989981546,105,0.00884
274,0.383218667,0.992517664,105,0.0066
284,0.401587198,0.994472085,105,0.00492
294,0.419619181,0.995960077,105,0.00372
304,0.437283,0.997079398,105,0.0024
314,0.454552551,0.99791138,105,0.0014
324,0.471407005,0.998522478,105,0.001
334,0.487830517,0.998966058,105,0.00076
344,0.503811898,0.999284276,105,0.00064
354,0.519344256,0.999509902,105,0.00052
364,0.534424614,0.999668023,105,0.00036
374,0.549053511,0.999777556,105,0.00028
384,0.5632346,0.999852558,105,0.00012
394,0.576974242,0.999903326,105,8.00E-05
404,0.590281111,0.999937298,105,8.00E-05
414,0.603165805,0.99995977,105,4.00E-05
424,0.615640483,0.999974467,105,4.00E-05
434,0.627718512,0.99998397,105,4.00E-05
444,0.639414148,0.999990045,105,4.00E-05
454,0.650742241,0.999993884,105,4.00E-05
464,0.661717963,0.999996283,105,4.00E-05
4,8.51E-05,0.757390234,115,0.2458
14,0.001042167,0.759747939,115,0.24312
24,0.00305723,0.764650344,115,0.23888
34,0.006119012,0.771940789,115,0.23124
44,0.010210405,0.781390379,115,0.22096
54,0.015308718,0.792709916,115,0.20904
64,0.021385961,0.805564578,115,0.19532
74,0.028409174,0.819590315,115,0.18276
84,0.036340827,0.834410836,115,0.16736
94,0.045139254,0.849654102,115,0.15212
104,0.054759138,0.86496733,115,0.13644
114,0.065152021,0.880029704,115,0.11948
124,0.076266844,0.89456223,115,0.1048
134,0.088050489,0.908334419,115,0.0904
144,0.100448344,0.92116774,115,0.07824
154,0.113404849,0.932936029,115,0.06584
164,0.126864035,0.943563229,115,0.05528
174,0.140770051,0.953018957,115,0.04552
184,0.155067648,0.961312492,115,0.03772
194,0.169702649,0.968485788,115,0.03144
204,0.184622361,0.974606079,115,0.02564
214,0.199775962,0.979758594,115,0.021
224,0.215114824,0.984039769,115,0.016
234,0.230592803,0.987551263,115,0.0128
244,0.246166465,0.990394964,115,0.01008
254,0.261795271,0.992669049,115,0.0072
264,0.277441707,0.994465107,115,0.00548
274,0.293071363,0.995866235,115,0.00428
284,0.308652973,0.996945994,115,0.00328
294,0.324158404,0.997768064,115,0.00228
304,0.339562609,0.998386455,115,0.00164
314,0.354843541,0.998846101,115,0.00104
324,0.369982042,0.999183714,115,0.0006
334,0.384961694,0.999428778,115,0.00044
344,0.399768659,0.999604584,115,0.00028
354,0.414391494,0.999729235,115,0.00024
364,0.428820956,0.999816593,115,0.00012
374,0.4430498,0.999877106,115,0.00012
384,0.457072567,0.999918543,115,8.00E-05
394,0.470885376,0.999946591,115,8.00E-05
404,0.484485723,0.999965359,115,4.00E-05
414,0.497872275,0.999977774,115,4.00E-05
4,6.40E-05,0.878888997,125,0.11764
14,0.000783161,0.880065965,125,0.11616
24,0.002298414,0.88251325,125,0.11376
34,0.00460326,0.886152646,125,0.1108
44,0.007687913,0.89086989,125,0.10624
54,0.011539375,0.896520613,125,0.1004
64,0.016141583,0.902937671,125,0.09308
74,0.021475579,0.909939331,125,0.08648
84,0.027519715,0.917337747,125,0.07936
94,0.034249878,0.924947199,125,0.0728
104,0.041639741,0.932591575,125,0.0656
114,0.04966103,0.940110725,125,0.058
124,0.058283797,0.947365375,125,0.05064
134,0.067476713,0.954240464,125,0.0434
144,0.077207351,0.960646868,125,0.03668
154,0.087442481,0.966521608,125,0.03204
164,0.09814835,0.971826715,125,0.0268
174,0.109290956,0.976547023,125,0.02276
184,0.120836315,0.980687163,125,0.01804
194,0.132750702,0.984268078,125,0.0148
204,0.145000879,0.987323333,125,0.0118
214,0.157554303,0.989895473,125,0.00932
224,0.170379308,0.992032639,125,0.00764
234,0.183445264,0.99378558,125,0.00612
244,0.196722712,0.995205158,125,0.00452
254,0.210183473,0.996340383,125,0.0034
264,0.223800733,0.997236976,125,0.00252
274,0.2375491,0.997936421,125,0.00188
284,0.251404645,0.998475437,125,0.00156
294,0.265344916,0.998885816,125,0.00116
304,0.27934893,0.999194517,125,0.00088
314,0.293397156,0.999423972,125,0.0006
324,0.307471469,0.999592509,125,0.00036
334,0.321555106,0.999714846,125,0.00032
344,0.335632592,0.999802608,125,0.0002
354,0.349689677,0.999864834,125,0.00012
364,0.363713249,0.999908443,125,8.00E-05
374,0.377691252,0.999938651,125,8.00E-05
384,0.391612599,0.999959337,125,4.00E-05
394,0.405467083,0.999973338,125,4.00E-05
404,0.419245292,0.999982707,125,4.00E-05
414,0.432938522,0.999988905,125,4.00E-05
424,0.446538699,0.999992958,125,4.00E-05
