Time,P1,P2,IM,Rec
4,1,1,10,0.93714
14,1,1,10,1
24,1,1,10,1
34,1,1,10,1
44,1,1,10,1
54,1,1,10,1
64,1,1,10,1
74,1,1,10,1
84,1,1,10,1
94,1,1,10,1
104,1,1,10,1
114,1,1,10,1
124,1,1,10,1
134,1,1,10,1
144,1,1,10,1
154,1,1,10,1
164,1,1,10,1
174,1,1,10,1
184,1,1,10,1
194,1,1,10,1
204,1,1,10,1
214,1,1,10,1
224,1,1,10,1
234,1,1,10,1
244,1,1,10,1
254,1,1,10,1
264,1,1,10,1
274,1,1,10,1
284,1,1,10,1
294,1,1,10,1
304,1,1,10,1
314,1,1,10,1
324,1,1,10,1
334,1,1,10,1
344,1,1,10,1
354,1,1,10,1
364,1,1,10,1
374,1,1,10,1
384,1,1,10,1
394,1,1,10,1
404,1,1,10,1
414,1,1,10,1
424,1,1,10,1
434,1,1,10,1
444,1,1,10,1
454,1,1,10,1
464,1,1,10,1
474,1,1,10,1
484,1,1,10,1
494,1,1,10,1
504,1,1,10,1
514,1,1,10,1
524,1,1,10,1
534,1,1,10,1
544,1,1,10,1
554,1,1,10,1
564,1,1,10,1
574,1,1,10,1
584,1,1,10,1
594,1,1,10,1
601,1,1,10,1
611,1,1,10,1
621,1,1,10,1
631,1,1,10,1
641,1,1,10,1
651,1,1,10,1
661,1,1,10,1
671,1,1,10,1
681,1,1,10,1
691,1,1,10,1
701,1,1,10,1
711,1,1,10,1
721,1,1,10,1
731,1,1,10,1
741,1,1,10,1
751,1,1,10,1
761,1,1,10,1
771,1,1,10,1
781,1,1,10,1
791,1,1,10,1
801,1,1,10,1
811,1,1,10,1
821,1,1,10,1
831,1,1,10,1
841,1,1,10,1
851,1,1,10,1
861,1,1,10,1
871,1,1,10,1
881,1,1,10,1
891,1,1,10,1
901,1,1,10,1
911,1,1,10,1
921,1,1,10,1
931,1,1,10,1
941,1,1,10,1
951,1,1,10,1
961,1,1,10,1
971,1,1,10,1
981,1,1,10,1
991,1,1,10,1
4,1,1,25,0.93704
14,1,1,25,1
24,1,1,25,1
34,1,1,25,1
44,1,1,25,1
54,1,1,25,1
64,1,1,25,1
74,1,1,25,1
84,1,1,25,1
94,1,1,25,1
104,1,1,25,1
114,1,1,25,1
124,1,1,25,1
134,1,1,25,1
144,1,1,25,1
154,1,1,25,1
164,1,1,25,1
174,1,1,25,1
184,1,1,25,1
194,1,1,25,1
204,1,1,25,1
214,1,1,25,1
224,1,1,25,1
234,1,1,25,1
244,1,1,25,1
254,1,1,25,1
264,1,1,25,1
274,1,1,25,1
284,1,1,25,1
294,1,1,25,1
304,1,1,25,1
314,1,1,25,1
324,1,1,25,1
334,1,1,25,1
344,1,1,25,1
354,1,1,25,1
364,1,1,25,1
374,1,1,25,1
384,1,1,25,1
394,1,1,25,1
404,1,1,25,1
414,1,1,25,1
424,1,1,25,1
434,1,1,25,1
444,1,1,25,1
454,1,1,25,1
464,1,1,25,1
474,1,1,25,1
484,1,1,25,1
494,1,1,25,1
504,1,1,25,1
514,1,1,25,1
524,1,1,25,1
534,1,1,25,1
544,1,1,25,1
554,1,1,25,1
564,1,1,25,1
574,1,1,25,1
584,1,1,25,1
594,1,1,25,1
601,1,1,25,1
611,1,1,25,1
621,1,1,25,1
631,1,1,25,1
641,1,1,25,1
651,1,1,25,1
661,1,1,25,1
671,1,1,25,1
681,1,1,25,1
691,1,1,25,1
701,1,1,25,1
711,1,1,25,1
721,1,1,25,1
731,1,1,25,1
741,1,1,25,1
751,1,1,25,1
761,1,1,25,1
771,1,1,25,1
781,1,1,25,1
791,1,1,25,1
801,1,1,25,1
811,1,1,25,1
821,1,1,25,1
831,1,1,25,1
841,1,1,25,1
851,1,1,25,1
861,1,1,25,1
871,1,1,25,1
881,1,1,25,1
891,1,1,25,1
901,1,1,25,1
911,1,1,25,1
921,1,1,25,1
