Time,Rec
1,0.07384
2,0.17232
3,0.21414
4,0.26194
5,0.29842
6,0.32706
7,0.3506
8,0.36856
9,0.38304
10,0.39454
11,0.40526
12,0.41474
13,0.42288
14,0.43038
15,0.43742
16,0.44414
17,0.45098
18,0.4569
19,0.4635
20,0.47008
21,0.47624
22,0.4819
23,0.48816
24,0.49432
25,0.50086
26,0.50698
27,0.51296
28,0.51878
29,0.52434
30,0.52972
31,0.53474
32,0.54022
33,0.5454
34,0.5503
35,0.55518
36,0.56004
37,0.56506
38,0.5702
39,0.57514
40,0.58028
41,0.5853
42,0.58974
43,0.59382
44,0.59788
45,0.6018
46,0.6054
47,0.60898
48,0.61276
49,0.6171
50,0.62116
51,0.62478
52,0.62852
53,0.63226
54,0.63652
55,0.64002
56,0.64334
57,0.6471
58,0.65076
59,0.65334
60,0.65672
61,0.65988
62,0.6638
63,0.66728
64,0.67054
65,0.67352
66,0.6764
67,0.67936
68,0.68222
69,0.68492
70,0.68828
71,0.69108
72,0.69368
73,0.696
74,0.69836
75,0.70088
76,0.70376
77,0.70622
78,0.7087
79,0.71196
80,0.71464
81,0.71728
82,0.72014
83,0.7226
84,0.72476
85,0.72668
86,0.7293
87,0.73138
88,0.73344
89,0.73568
90,0.7378
91,0.74022
92,0.74212
93,0.74404
94,0.74598
95,0.7482
96,0.75074
97,0.75274
98,0.75472
99,0.75646
100,0.75846
101,0.76026
102,0.76224
103,0.76418
104,0.7661
105,0.76812
106,0.7701
107,0.77182
108,0.77364
109,0.7753
110,0.77746
111,0.77904
112,0.78082
113,0.7829
114,0.78446
115,0.78646
116,0.78798
117,0.78948
118,0.79084
119,0.79254
120,0.79398
121,0.79574
122,0.79748
123,0.79902
124,0.8006
125,0.80236
126,0.80396
127,0.80552
128,0.80714
129,0.8084
130,0.81008
131,0.8117
132,0.81306
133,0.81438
134,0.8154
135,0.81648
136,0.81782
137,0.8191
138,0.82036
139,0.82168
140,0.82286
141,0.82414
142,0.8252
143,0.82658
144,0.82786
145,0.8289
146,0.8303
147,0.83134
148,0.83288
149,0.83404
150,0.83528
151,0.00348
152,0.01106
153,0.05798
154,0.0877
155,0.11604
156,0.14742
157,0.18586
158,0.21786
159,0.2443
160,0.2643
161,0.28072
162,0.29278
163,0.3011
164,0.30674
165,0.31026
166,0.31248
167,0.31418
168,0.315
169,0.31572
170,0.31668
171,0.31736
172,0.31792
173,0.3186
174,0.31928
175,0.32006
176,0.3208
177,0.32148
178,0.32234
179,0.32284
180,0.32354
181,0.32426
182,0.32494
183,0.32552
184,0.32614
185,0.32672
186,0.3276
187,0.32856
188,0.3293
189,0.33018
190,0.33106
191,0.332
192,0.33308
193,0.33424
194,0.33552
195,0.33658
196,0.33788
197,0.3388
198,0.33976
199,0.34092
200,0.34182
201,0.34294
202,0.34416
203,0.34532
204,0.34622
205,0.34718
206,0.3484
207,0.34938
208,0.35056
209,0.35142
210,0.35262
211,0.35366
212,0.3548
213,0.35606
214,0.35738
215,0.35848
216,0.35972
217,0.36106
218,0.36252
219,0.36392
220,0.36524
221,0.3663
222,0.36782
223,0.36918
224,0.37054
225,0.37188
226,0.37302
227,0.37412
228,0.37574
229,0.37732
230,0.3788
231,0.38016
232,0.38162
233,0.38326
234,0.38458
235,0.38606
236,0.38768
237,0.38918
238,0.39062
239,0.39216
240,0.39364
241,0.395
242,0.39664
243,0.39826
244,0.39984
245,0.40142
246,0.40274
247,0.4046
248,0.40612
249,0.4076
250,0.40902
251,0.41068
252,0.41218
253,0.4138
254,0.41526
255,0.41684
256,0.41844
257,0.42
258,0.42164
259,0.42312
260,0.42472
261,0.42652
262,0.42774
263,0.42946
264,0.43108
265,0.43274
266,0.43408
267,0.43578
268,0.4376
269,0.43922
270,0.44086
271,0.44278
272,0.44466
273,0.44662
274,0.44852
275,0.45028
276,0.45184
277,0.45336
278,0.45492
279,0.4567
280,0.45826
281,0.4602
282,0.46238
283,0.46432
284,0.46602
285,0.46786
286,0.47006
287,0.47178
288,0.4736
289,0.47542
290,0.47708
291,0.47898
292,0.48092
293,0.48266
294,0.48452
295,0.48636
296,0.48836
297,0.48984
298,0.49166
299,0.49378
300,0.49542
301,0.4972
302,0.49886
303,0.50074
304,0.50248
305,0.50414
306,0.5061
307,0.50842
308,0.51026
309,0.51196
310,0.51408
311,0.51616
312,0.518
313,0.51974
314,0.52182
315,0.52386
316,0.52576
317,0.52748
318,0.52944
319,0.53124
320,0.53364
321,0.53562
322,0.53754
323,0.53952
324,0.54136
325,0.54356
326,0.54534
327,0.54758
328,0.54928
329,0.55104
330,0.55292
331,0.55494
332,0.557
333,0.5587
334,0.56072
335,0.56272
336,0.56422
337,0.56594
338,0.56768
339,0.5694
340,0.57112
341,0.57272
342,0.57442
343,0.57634
344,0.57816
345,0.57972
346,0.58166
347,0.58374
348,0.58548
349,0.58734
350,0.58912
351,0.59096
352,0.59282
353,0.59474
354,0.59634
355,0.59824
356,0.59986
357,0.60146
358,0.60318
359,0.60462
360,0.60636
361,0.6083
362,0.60978
363,0.61158
364,0.6137
365,0.61564
366,0.61738
367,0.61918
368,0.62134
369,0.62318
370,0.62462
371,0.62602
372,0.62756
373,0.62938
374,0.6307
375,0.63226
376,0.63358
377,0.63528
378,0.63698
379,0.6385
380,0.6398
381,0.64116
382,0.64266
383,0.64432
384,0.64596
385,0.64774
386,0.64938
387,0.6512
388,0.65288
389,0.65454
390,0.6564
391,0.65818
392,0.65972
393,0.66128
394,0.66324
395,0.66508
396,0.66702
397,0.66856
398,0.67024
399,0.67196
400,0.67338
401,0.67482
402,0.67662
403,0.67818
404,0.6798
405,0.68136
406,0.68298
407,0.6844
408,0.68612
409,0.68774
410,0.68952
411,0.69074
412,0.69214
413,0.69364
414,0.69546
415,0.69676
416,0.69838
417,0.70006
418,0.70146
419,0.70296
420,0.70438
421,0.70612
422,0.70768
423,0.70946
424,0.71082
425,0.71216
426,0.71372
427,0.715
428,0.71684
429,0.7183
430,0.7196
431,0.72118
432,0.72228
433,0.7239
434,0.7253
435,0.72676
436,0.72818
437,0.72964
438,0.73078
439,0.73224
440,0.73364
441,0.735
442,0.7364
443,0.7377
444,0.73908
445,0.74044
446,0.74178
447,0.74318
448,0.74468
449,0.7461
450,0.7475
451,0.74898
452,0.75056
453,0.75192
454,0.75346
455,0.75508
456,0.7568
457,0.75824
458,0.75946
459,0.76096
460,0.76224
461,0.76362
462,0.7647
463,0.76616
464,0.76752
465,0.76894
466,0.77034
467,0.77178
468,0.77328
469,0.77454
470,0.7758
471,0.7772
472,0.7785
473,0.7798
474,0.7811
475,0.78246
476,0.7837
477,0.7849
478,0.78606
479,0.78748
480,0.789
481,0.79016
482,0.79164
483,0.79282
484,0.79392
485,0.79534
486,0.79666
487,0.79782
488,0.79912
489,0.80014
490,0.80122
491,0.80236
492,0.8037
493,0.8049
494,0.80606
495,0.80728
496,0.8085
497,0.80976
498,0.81082
499,0.8121
500,0.8133
501,0.81422
502,0.81566
503,0.81688
504,0.81804
505,0.81942
506,0.82054
507,0.82154
508,0.82272
509,0.8238
510,0.82518
511,0.82642
512,0.82768
513,0.82904
514,0.83008
515,0.83114
516,0.83224
517,0.83324
518,0.83424
519,0.8352
520,0.8362
521,0.83704
522,0.83802
523,0.83918
524,0.83986
525,0.84092
526,0.84222
527,0.84298
528,0.84406
529,0.84508
530,0.84604
531,0.84712
532,0.84796
533,0.84898
534,0.85
535,0.85106
536,0.85202
537,0.8526
538,0.85376
539,0.85482
540,0.85564
541,0.85686
542,0.85798
543,0.85892
544,0.85992
545,0.8609
546,0.86156
547,0.86268
548,0.86356
549,0.86428
550,0.8651
551,0.86598
552,0.86694
553,0.86762
554,0.86846
555,0.86946
556,0.87034
557,0.87122
558,0.87224
559,0.87314
560,0.87426
561,0.87514
562,0.87618
563,0.87698
564,0.87764
565,0.87856
566,0.87946
567,0.8802
568,0.881
569,0.88186
570,0.8827
571,0.88334
572,0.88424
573,0.8848
574,0.88566
575,0.88648
576,0.88726
577,0.88814
578,0.8888
579,0.88964
580,0.89064
581,0.89156
582,0.89238
583,0.89282
584,0.89368
585,0.89444
586,0.8954
587,0.89616
588,0.89688
589,0.89754
590,0.89812
591,0.89884
592,0.89954
593,0.90038
594,0.90096
595,0.90154
596,0.90222
597,0.90304
598,0.9037
599,0.90434
600,0.90512
601,0.90578
602,0.90662
603,0.90724
604,0.908
605,0.9085
606,0.90918
607,0.91008
608,0.9107
609,0.91128
610,0.91174
611,0.91228
612,0.91312
613,0.91376
614,0.91448
615,0.91526
616,0.91588
617,0.91638
618,0.91704
619,0.91792
620,0.9185
621,0.91888
622,0.91954
623,0.92018
624,0.9209
625,0.9214
626,0.92216
627,0.92262
628,0.92328
629,0.92384
630,0.92434
631,0.92516
632,0.9257
633,0.92642
634,0.92706
635,0.92784
636,0.92854
637,0.92906
638,0.92954
639,0.92998
640,0.9306
641,0.93106
642,0.93154
643,0.932
644,0.93252
645,0.93292
646,0.93338
647,0.93382
648,0.93424
649,0.93458
650,0.93498
651,0.93532
652,0.93586
653,0.93616
654,0.93664
655,0.93702
656,0.93742
657,0.93814
658,0.93844
659,0.93886
660,0.9393
661,0.9397
662,0.9401
663,0.94066
664,0.941
665,0.9414
666,0.94182
667,0.94222
668,0.94268
669,0.94312
670,0.9434
671,0.94384
672,0.9442
673,0.9446
674,0.94508
675,0.94556
676,0.94596
677,0.9465
678,0.94688
679,0.94734
680,0.94772
681,0.94816
682,0.9486
683,0.949
684,0.94932
685,0.9496
686,0.94992
687,0.95046
688,0.95098
689,0.9513
690,0.9516
691,0.95188
692,0.95232
693,0.95262
694,0.9531
695,0.95324
696,0.95352
697,0.95372
698,0.95414
699,0.95438
700,0.95466
701,0.95502
702,0.9554
703,0.95582
704,0.95628
705,0.95664
706,0.95702
707,0.9574
708,0.95764
709,0.95804
710,0.95834
711,0.95854
712,0.95886
713,0.95918
714,0.9596
715,0.95988
716,0.96012
717,0.96042
718,0.9608
719,0.96122
720,0.9614
721,0.96172
722,0.96204
723,0.96226
724,0.96258
725,0.96274
726,0.963
727,0.96322
728,0.9634
729,0.96368
730,0.9638
731,0.96394
732,0.96428
733,0.96456
734,0.96474
735,0.96506
736,0.96534
737,0.96572
738,0.96598
739,0.96612
740,0.9664
741,0.96662
742,0.96678
743,0.96696
744,0.96712
745,0.96744
746,0.96768
747,0.96786
748,0.96824
749,0.9685
750,0.9687
751,0.96892
752,0.96922
753,0.96948
754,0.96958
755,0.96982
756,0.97024
757,0.97042
758,0.9707
759,0.97094
760,0.9711
761,0.97134
762,0.97154
763,0.97176
764,0.97198
765,0.97212
766,0.97228
767,0.97252
768,0.9727
769,0.97298
770,0.97314
771,0.9733
772,0.97366
773,0.9739
774,0.97404
775,0.97426
776,0.97442
777,0.97458
778,0.9747
779,0.9748
780,0.97498
781,0.97526
782,0.97536
783,0.9755
784,0.97562
785,0.97584
786,0.97598
787,0.97614
788,0.97628
789,0.97646
