Time,Rec
1,0.073813032
2,0.169799337
3,0.207745074
4,0.250495632
5,0.286316147
6,0.310972636
7,0.332484704
8,0.349536765
9,0.360237712
10,0.372250139
11,0.379513363
12,0.386279785
13,0.390596203
14,0.39592942
15,0.401949441
16,0.407543057
17,0.409459472
18,0.415610687
19,0.421759903
20,0.425788716
21,0.429631531
22,0.434464344
23,0.441188359
24,0.444749973
25,0.447912789
26,0.454036004
27,0.45715522
28,0.461038831
29,0.458647248
30,0.463395263
31,0.467181273
32,0.467587667
33,0.468960477
34,0.470378048
35,0.472877652
36,0.472967257
37,0.476264063
38,0.480755665
39,0.482914871
40,0.488212874
41,0.491055677
42,0.493666082
43,0.496151685
44,0.498455288
45,0.493508092
46,0.496862495
47,0.498005699
48,0.495202901
49,0.497249702
50,0.498344905
51,0.500490908
52,0.50127811
53,0.505784513
54,0.507703316
55,0.50936292
56,0.509752922
57,0.508538125
58,0.511191729
59,0.51258853
60,0.5084892
61,0.5108976
62,0.5135864
63,0.5160392
64,0.5156872
65,0.5166232
66,0.5190392
67,0.5211152
68,0.5217932
69,0.5183152
70,0.518834
71,0.5181284
72,0.5186764
73,0.5205928
74,0.5239464
75,0.5216312
76,0.5246524
77,0.525116
78,0.5267664
79,0.5269116
80,0.5269684
81,0.5255496
82,0.5284408
83,0.5284964
84,0.529754
85,0.5311068
86,0.530996
87,0.532268
88,0.532014
89,0.5317568
90,0.5314824
91,0.532696
92,0.5338676
93,0.5334828
94,0.5360516
95,0.5341904
96,0.5321656
97,0.5303184
98,0.532982
99,0.5342292
100,0.535186
101,0.5346736
102,0.5326924
103,0.5337728
104,0.5333296
105,0.5297484
106,0.529188
107,0.531898
108,0.5315732
109,0.5309832
110,0.5320808
111,0.5332044
112,0.5358068
113,0.5367096
114,0.5359136
115,0.53353
116,0.5342644
117,0.5334756
118,0.5326316
119,0.5333304
120,0.5356948
121,0.5348204
122,0.5354468
123,0.5346108
124,0.5352972
125,0.534386
126,0.535038
127,0.532462
128,0.5314224
129,0.532158
130,0.5296412
131,0.5303336
132,0.527884
133,0.5286824
134,0.5279776
135,0.5303996
136,0.528038
137,0.5287508
138,0.527922
139,0.5270192
140,0.5211896
141,0.5219104
142,0.5245716
143,0.5220784
144,0.5244144
145,0.5269032
146,0.5276292
147,0.5282104
148,0.5270316
149,0.5275408
150,0.5280312
151,0.5250824
152,0.52372
153,0.5208868
154,0.5197308
155,0.518762
156,0.521084
157,0.521848
158,0.5241364
159,0.5247156
160,0.5235468
161,0.5207052
162,0.5228644
163,0.523442
164,0.5221148
165,0.520718
166,0.5211484
167,0.5233132
168,0.5220028
169,0.517204
170,0.5142968
171,0.5167232
172,0.5156628
173,0.5161808
174,0.5168456
175,0.5192052
176,0.521466
177,0.5218944
178,0.5239196
179,0.5242124
180,0.5226264
181,0.5210276
182,0.5229628
183,0.524886
184,0.526676
185,0.5249868
186,0.52502
187,0.525198
188,0.5270352
189,0.528878
190,0.5306536
191,0.5323696
192,0.5323324
193,0.53051
194,0.5321644
195,0.5339748
196,0.5356152
197,0.5372492
198,0.5388716
199,0.5386888
200,0.5367796
201,0.5383992
202,0.5383444
203,0.5382536
204,0.5346888
205,0.531172
206,0.5296264
207,0.530012
208,0.53218
209,0.534358
210,0.5365384
211,0.5386928
212,0.5389756
213,0.540944
214,0.5411068
215,0.5411092
216,0.542902
217,0.5446524
218,0.5463232
219,0.5479516
220,0.5495284
221,0.5511524
222,0.5527296
223,0.5524624
224,0.5539396
225,0.5554828
226,0.5570416
227,0.5567404
228,0.5564344
229,0.5526644
230,0.5542764
231,0.5561244
232,0.5579
233,0.5596728
234,0.5614564
235,0.5632568
236,0.5649616
237,0.5647936
238,0.5664376
239,0.5680832
240,0.5696912
241,0.5712136
242,0.5709176
243,0.572452
244,0.5740456
245,0.5755828
246,0.5735156
247,0.5750184
248,0.574894
249,0.5746688
250,0.5763368
251,0.5780404
252,0.579788
253,0.5814736
254,0.581318
255,0.5830612
256,0.5848268
257,0.5828604
258,0.5844644
259,0.5844064
260,0.5861308
261,0.5860468
262,0.5877512
263,0.5895716
264,0.589452
265,0.5911656
266,0.592914
267,0.594612
268,0.5943796
269,0.5959332
270,0.5957852
271,0.5937872
272,0.5917856
273,0.5935832
274,0.5955808
275,0.5955884
276,0.5974292
277,0.599358
278,0.6012944
279,0.6031172
280,0.5993424
281,0.6011252
282,0.60295
283,0.6047284
284,0.6064652
285,0.6081148
286,0.6098528
287,0.6114744
288,0.6131064
289,0.610974
290,0.6125376
291,0.6141836
292,0.6158196
293,0.6155804
294,0.6172112
295,0.6170196
296,0.6187072
297,0.61856
298,0.6202296
299,0.620044
300,0.6217132
301,0.6215824
302,0.62138
303,0.6231184
304,0.6248884
305,0.626688
306,0.6284152
307,0.6301336
308,0.6317844
309,0.63153
310,0.6331924
311,0.6348216
312,0.6364284
313,0.6379744
314,0.6395208
315,0.6410536
316,0.6407028
317,0.6403212
318,0.6418704
319,0.6434712
320,0.6449872
321,0.6446584
322,0.64621
323,0.6459384
324,0.6474924
325,0.6491284
326,0.6488564
327,0.64668
328,0.6464992
329,0.6464028
330,0.6482108
331,0.6500728
332,0.650034
333,0.65185
334,0.651864
335,0.6517464
336,0.6516704
337,0.653512
338,0.6553676
339,0.6571268
340,0.658844
341,0.6605324
342,0.6621908
343,0.6638552
344,0.6654472
345,0.6651252
346,0.6666168
347,0.6661968
348,0.6676844
349,0.6692456
350,0.6670388
351,0.6685136
352,0.6701304
353,0.6698392
354,0.6696
355,0.6713036
356,0.6730408
357,0.6728484
358,0.6725956
359,0.6742476
360,0.6740808
361,0.6757668
362,0.6756032
363,0.6772892
364,0.6789828
365,0.678766
366,0.678542
367,0.6784008
368,0.6801608
369,0.681882
370,0.6834792
371,0.6851612
372,0.683002
373,0.6846664
374,0.6863568
375,0.6879464
376,0.6895684
377,0.6910888
378,0.6926664
379,0.69411
380,0.6955752
381,0.6969776
382,0.6983776
383,0.6997276
384,0.6991636
385,0.700486
386,0.699942
387,0.7013056
388,0.7027568
389,0.7041748
390,0.7055912
391,0.7069952
392,0.7065592
393,0.7060924
394,0.7056596
395,0.7072032
396,0.7068288
397,0.7083448
398,0.7060928
399,0.7019384
400,0.7037232
401,0.703666
402,0.7054728
403,0.7072544
404,0.7091104
405,0.7109356
406,0.712656
407,0.7142932
408,0.7159064
409,0.7174428
410,0.7169624
411,0.7165016
412,0.7159732
413,0.7173292
414,0.7187676
415,0.7182188
416,0.719606
417,0.7172264
418,0.7187056
419,0.7202404
420,0.7217972
421,0.7214808
422,0.7211384
423,0.7228096
424,0.7244648
425,0.7260752
426,0.7276268
427,0.729186
428,0.728802
429,0.7283652
