IM,Haz_diff
10,0.852285221
11,0.826268313
12,0.799027033
13,0.770760354
14,0.74166342
15,0.711926254
16,0.681732514
17,0.651258342
18,0.62067132
19,0.590129554
20,0.559780901
21,0.529762337
22,0.500199479
23,0.471206253
24,0.442884702
25,0.41532494
26,0.388605228
27,0.362792177
28,0.337941055
29,0.314096192
30,0.291291475
31,0.269550907
32,0.248889226
33,0.229312581
34,0.210819222
35,0.193400231
36,0.177040252
37,0.161718225
38,0.147408112
39,0.134079604
40,0.121698804
41,0.110228884
42,0.099630699
43,0.089863364
44,0.080884796
45,0.072652195
46,0.065122499
47,0.058252772
48,0.052000565
49,0.046324217
50,0.041183119
51,0.036537937
52,0.032350791
53,0.0285854
54,0.025207193
55,0.022183386
56,0.019483033
57,0.017077052
58,0.014938224
59,0.01304118
60,0.011362366
61,0.009879993
62,0.00857398
63,0.007425885
64,0.00641883
65,0.005537417
66,0.004767648
67,0.004096836
68,0.003513518
69,0.00300737
70,0.002569119
71,0.002190463
72,0.001863991
73,0.001583104
74,0.001341944
75,0.001135326
76,0.00095867
77,0.000807945
78,0.00067961
79,0.000570565
80,0.000478101
81,0.000399856
82,0.000333779
83,0.000278091
84,0.000231255
85,0.000191942
86,0.00015901
87,0.00013148
88,0.000108511
89,8.94E-05
90,7.35E-05
91,6.03E-05
92,4.94E-05
93,4.04E-05
94,3.30E-05
95,2.68E-05
96,2.18E-05
97,1.77E-05
98,1.43E-05
99,1.16E-05
100,9.36E-06
101,7.54E-06
102,6.06E-06
103,4.87E-06
104,3.90E-06
105,3.12E-06
106,2.49E-06
107,1.98E-06
108,1.58E-06
109,1.25E-06
110,9.91E-07
111,7.83E-07
112,6.18E-07
113,4.87E-07
114,3.83E-07
115,3.01E-07
116,2.36E-07
117,1.84E-07
118,1.44E-07
119,1.12E-07
120,8.73E-08
121,6.78E-08
122,5.26E-08
123,4.07E-08
124,3.14E-08
125,2.42E-08
