Rec,Time,P1,P2
0.237,4,0.420081829,0.341885774
0.273,5,0.451391003,0.387663796
0.3,6,0.4713737,0.418968649
0.323,7,0.485407349,0.440583432
0.34,8,0.496333021,0.455742469
0.36,9,0.505669121,0.466571346
0.37,10,0.51423241,0.47446632
0.379,11,0.52245914,0.48035361
0.391,12,0.530575412,0.484856032
0.402,13,0.538690033,0.488398522
0.406,14,0.546846354,0.49127515
0.419,15,0.555051751,0.493692119
0.425,16,0.56329461,0.495795723
0.433,17,0.571554159,0.497690791
0.439,18,0.579806133,0.499453045
0.444,19,0.588025977,0.501137493
0.452,20,0.596190592,0.502784221
0.457,21,0.604279205,0.504422436
0.464,22,0.612273724,0.506073339
0.473,23,0.62015879,0.507752178
0.482,24,0.627921667,0.509469739
0.485,25,0.635552037,0.511233449
0.489,26,0.643041759,0.513048184
0.501,27,0.650384615,0.514916878
0.504,28,0.657576066,0.516840989
0.514,29,0.664613023,0.518820846
0.517,30,0.671493632,0.520855921
0.523,31,0.678217089,0.522945038
0.527,32,0.684783471,0.525086535
0.534,33,0.69119359,0.527278391
0.543,34,0.697448868,0.529518328
0.548,35,0.70355122,0.531803886
0.553,36,0.709502966,0.534132487
0.559,37,0.715306747,0.536501487
0.567,38,0.720965454,0.538908208
0.571,39,0.726482169,0.541349975
0.575,40,0.731860118,0.543824134
0.581,41,0.737102627,0.546328077
0.581,42,0.742213085,0.54885925
0.585,43,0.747194917,0.551415167
0.587,44,0.752051557,0.553993421
0.596,45,0.756786429,0.556591684
0.603,46,0.76140293,0.559207714
0.607,47,0.765904416,0.561839358
0.611,48,0.770294192,0.564484553
0.615,49,0.774575502,0.567141327
0.62,50,0.778751521,0.569807796
0.623,51,0.782825352,0.572482166
0.626,52,0.786800024,0.575162731
0.63,53,0.790678484,0.577847871
0.633,54,0.794463596,0.580536047
0.636,55,0.798158147,0.583225805
0.638,56,0.801764836,0.585915766
0.64,57,0.805286284,0.588604629
0.648,58,0.808725028,0.591291166
0.652,59,0.812083524,0.593974221
0.655,60,0.81536415,0.596652702
0.659,61,0.818569205,0.599325587
0.664,62,0.821700913,0.601991911
0.666,63,0.824761423,0.604650774
0.671,64,0.827752812,0.607301329
0.674,65,0.830677086,0.609942785
0.677,66,0.833536185,0.612574403
0.678,67,0.83633198,0.615195492
0.683,68,0.839066281,0.617805411
0.684,69,0.841740835,0.620403561
0.686,70,0.844357327,0.622989387
0.692,71,0.846917389,0.625562375
0.696,72,0.849422595,0.628122046
0.701,73,0.851874464,0.630667963
0.703,74,0.854274466,0.633199719
0.705,75,0.85662402,0.635716942
0.71,76,0.858924496,0.638219291
0.713,77,0.861177221,0.640706454
0.717,78,0.863383475,0.643178146
0.718,79,0.865544495,0.64563411
0.719,80,0.867661479,0.648074113
0.722,81,0.869735585,0.650497946
0.722,82,0.871767931,0.652905422
0.727,83,0.8737596,0.655296375
0.729,84,0.875711641,0.657670659
0.731,85,0.877625065,0.660028146
0.731,86,0.879500855,0.662368726
0.736,87,0.881339961,0.664692307
0.737,88,0.883143301,0.666998811
0.739,89,0.884911766,0.669288175
0.741,90,0.88664622,0.671560351
0.744,91,0.888347497,0.673815302
0.745,92,0.890016407,0.676053005
0.749,93,0.891653736,0.678273447
0.75,94,0.893260244,0.680476628
0.752,95,0.894836668,0.682662556
0.756,96,0.896383725,0.684831249
0.756,97,0.897902109,0.686982735
0.759,98,0.899392492,0.689117049
0.762,99,0.900855529,0.691234235
0.762,100,0.902291853,0.693334342
0.763,101,0.90370208,0.695417428
0.764,102,0.905086808,0.697483557
0.766,103,0.906446618,0.699532798
0.768,104,0.907782074,0.701565225
0.769,105,0.909093723,0.70358092
0.77,106,0.910382099,0.705579965
0.772,107,0.911647718,0.707562451
0.775,108,0.912891085,0.709528471
0.777,109,0.914112688,0.71147812
0.778,110,0.915313002,0.713411499
0.779,111,0.916492492,0.715328711
0.78,112,0.917651606,0.717229863
0.781,113,0.918790783,0.719115063
