Rec,Time,P1,P2
0.128,4,0.161036658,0.797462001
0.137,5,0.163795493,0.797463707
0.14,6,0.168069227,0.797467988
0.143,7,0.173902428,0.797476748
0.149,8,0.181226033,0.797492338
0.155,9,0.189901481,0.797517416
0.165,10,0.199754417,0.79755482
0.169,11,0.21059785,0.797607438
0.181,12,0.222246929,0.797678111
0.191,13,0.234527704,0.79776955
0.201,14,0.24728177,0.797884281
0.21,15,0.260368259,0.7980246
0.218,16,0.273664151,0.79819255
0.228,17,0.287063591,0.79838991
0.236,18,0.300476659,0.798618189
0.242,19,0.313827874,0.798878634
0.26,20,0.327054617,0.799172232
0.27,21,0.340105585,0.799499734
0.278,22,0.352939317,0.799861659
0.294,23,0.365522862,0.800258321
0.306,24,0.377830559,0.80068984
0.32,25,0.389842968,0.801156161
0.332,26,0.40154592,0.801657076
0.346,27,0.412929692,0.802192233
0.358,28,0.423988287,0.80276116
0.367,29,0.434718819,0.803363275
0.381,30,0.445120978,0.803997903
0.391,31,0.455196573,0.804664288
0.398,32,0.464949142,0.805361605
0.411,33,0.474383621,0.806088971
0.417,34,0.483506062,0.806845458
0.43,35,0.49232339,0.807630096
0.436,36,0.500843208,0.808441889
0.445,37,0.509073618,0.809279815
0.453,38,0.517023085,0.810142839
0.461,39,0.524700316,0.811029914
0.466,40,0.532114156,0.811939991
0.477,41,0.53927351,0.812872018
0.478,42,0.546187274,0.81382495
0.487,43,0.552864277,0.814797747
0.488,44,0.559313239,0.815789383
0.493,45,0.56554273,0.816798843
0.497,46,0.571561145,0.817825129
0.504,47,0.57737668,0.818867261
0.509,48,0.582997314,0.819924279
0.512,49,0.588430798,0.820995242
0.523,50,0.593684644,0.822079233
0.531,51,0.598766121,0.823175358
0.538,52,0.603682249,0.824282746
0.544,53,0.608439804,0.82540055
0.549,54,0.61304531,0.826527947
0.554,55,0.617505051,0.827664142
0.562,56,0.621825066,0.828808361
0.567,57,0.626011159,0.829959858
0.575,58,0.630068901,0.831117911
0.581,59,0.634003638,0.832281822
0.585,60,0.637820496,0.833450918
0.587,61,0.641524387,0.834624552
0.592,62,0.645120019,0.835802097
0.595,63,0.648611897,0.836982953
0.599,64,0.652004336,0.838166542
0.601,65,0.655301464,0.839352309
0.604,66,0.658507232,0.840539719
0.606,67,0.661625416,0.841728263
0.609,68,0.664659631,0.842917448
0.611,69,0.667613331,0.844106806
0.614,70,0.670489819,0.845295886
0.616,71,0.673292251,0.846484258
0.619,72,0.676023646,0.847671511
0.62,73,0.678686888,0.848857251
0.624,74,0.681284732,0.850041103
0.624,75,0.683819813,0.85122271
0.625,76,0.686294648,0.852401731
0.628,77,0.688711641,0.853577839
0.629,78,0.691073093,0.854750728
0.63,79,0.693381198,0.855920101
0.63,80,0.695638057,0.85708568
0.633,81,0.697845674,0.8582472
0.634,82,0.700005967,0.859404409
0.638,83,0.702120768,0.860557068
0.641,84,0.704191828,0.861704952
0.642,85,0.706220821,0.862847848
0.643,86,0.708209346,0.863985553
0.647,87,0.710158933,0.865117878
0.647,88,0.712071044,0.866244643
0.649,89,0.713947077,0.867365679
0.65,90,0.715788368,0.868480828
0.651,91,0.717596197,0.86958994
0.653,92,0.719371785,0.870692876
0.655,93,0.721116302,0.871789505
0.66,94,0.722830866,0.872879705
0.663,95,0.724516548,0.873963362
0.664,96,0.72617437,0.875040371
0.668,97,0.727805312,0.876110633
0.67,98,0.729410313,0.877174058
0.674,99,0.730990268,0.878230561
0.675,100,0.732546038,0.879280066
0.677,101,0.734078443,0.880322503
0.678,102,0.735588271,0.881357805
0.682,103,0.737076276,0.882385916
0.686,104,0.73854318,0.883406782
0.687,105,0.739989673,0.884420356
0.692,106,0.741416419,0.885426595
0.694,107,0.742824051,0.886425462
0.696,108,0.744213177,0.887416925
0.698,109,0.745584381,0.888400955
0.699,110,0.74693822,0.889377529
0.7,111,0.74827523,0.890346628
